Country,Measure,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total_arrivals_sum
Burundi,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cabo Verde,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cambodia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cameroon,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,451.00,477.00,487.00,498.00,573.00,604.00,817.00,783.00,822.00,897.00,994.00,1081.00,997.00,1021.00,0.00,10502.00
Canada,Total arrivals,Thousands,48638.00,47147.00,44896.00,38903.00,38845.00,36160.00,33390.00,30373.00,27370.00,24696.00,25621.00,25066.00,25318.00,25167.00,25558.00,27555.00,30142.00,31081.00,31274.00,32430.00,5068.00,654698.00
Central African Republic,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Chad,Total arrivals,Thousands,94.00,175.00,149.00,101.00,106.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,684.00
Chile,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3713.00,3657.00,3584.00,3963.00,4397.00,4457.00,4601.00,5487.00,6712.00,7621.00,6603.00,5431.00,1310.50,61536.50
China,Total arrivals,Thousands,83444.00,89013.00,97908.00,91662.00,109038.00,120292.00,124942.00,131873.00,130027.00,126476.00,133762.00,135423.00,132405.00,129078.00,128499.00,133820.00,141774.00,153260.00,158606.00,162538.00,30402.00,2544242.00
Colombia,Total arrivals,Thousands,707.00,788.00,661.00,668.00,840.00,981.00,2096.00,2381.00,2545.00,2649.00,1701.00,2356.00,2434.00,2595.00,2866.00,3371.00,3675.00,4056.00,4397.00,4531.00,1396.00,47694.00
Comoros,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Democratic Republic of the Congo,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,197.00
Costa Rica,Total arrivals,Thousands,1278.00,1320.00,1335.00,1514.00,1771.00,1959.00,2071.00,2302.00,2409.00,2309.00,2495.00,2526.00,2542.00,2641.00,2760.00,2899.00,3204.00,3231.00,3313.00,3366.00,1146.50,48391.50
Côte d´Ivoire,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,182.00,205.00,231.00,252.00,270.00,289.00,380.00,471.00,1441.00,1583.00,1800.00,1965.00,2070.00,668.00,11807.00
Croatia,Total arrivals,Thousands,37226.00,40129.00,41737.00,42857.00,44974.00,45762.00,47733.00,52271.00,51336.00,47573.00,49006.00,49969.00,47185.00,48345.00,51168.00,55858.00,57587.00,59238.00,57668.00,60021.00,21608.00,1009251.00
Cuba,Total arrivals,Thousands,1774.00,1775.00,1686.00,1906.00,2049.00,2319.00,2221.00,2152.00,2348.00,2430.00,2532.00,2716.00,2847.00,2862.00,3014.00,3540.00,4009.00,4654.00,4712.00,4276.00,1086.00,56908.00
Cyprus,Total arrivals,Thousands,2912.00,2841.00,2495.00,2416.00,2478.00,2657.00,2629.00,2671.00,2631.00,2370.00,2450.00,2626.00,2635.00,2626.00,2558.00,2780.00,3286.00,3750.00,4024.00,4117.00,0.00,56952.00
Czechia,Total arrivals,Thousands,0.00,0.00,0.00,20108.00,23808.00,24747.00,25102.00,22625.00,21850.00,23285.00,21941.00,22810.00,25750.00,26332.00,27166.00,29604.00,32519.00,34701.00,36268.00,37202.00,0.00,455818.00
Denmark,Total arrivals,Thousands,0.00,0.00,0.00,21119.00,22054.00,26927.00,26936.00,27138.00,26870.00,26571.00,26730.00,25811.00,26402.00,26516.00,28070.00,28209.00,28692.00,30736.00,30801.00,33093.00,15595.00,478270.00
Djibouti,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dominica,Total arrivals,Thousands,312.00,276.00,208.00,254.00,466.00,381.00,465.00,437.00,468.00,608.00,595.00,418.00,348.00,311.00,370.00,358.00,356.00,230.00,199.00,322.00,140.00,7522.00
Dominican Republic,Total arrivals,Thousands,3161.00,3090.00,3058.00,3680.00,3907.00,3981.00,4268.00,4365.00,4455.00,4489.00,4478.00,4654.00,4901.00,5114.00,5576.00,6129.00,6769.00,7296.00,7551.00,7550.00,2748.00,101220.00
Ecuador,Total arrivals,Thousands,627.00,641.00,683.00,761.00,819.00,860.00,841.00,937.00,1005.00,968.00,1047.00,1141.00,1272.00,1364.00,1695.00,1676.00,1569.00,1806.00,2535.00,2108.00,507.00,24862.00
Egypt,Total arrivals,Thousands,5506.00,4648.00,5192.00,6044.00,8104.00,8608.00,9083.00,11091.00,12835.00,12536.00,14731.00,9845.00,11532.00,9464.00,9878.00,9328.00,5399.00,8292.00,11346.00,13026.00,3677.00,190165.00
El Salvador,Total arrivals,Thousands,867.00,804.00,885.00,798.00,1030.00,1306.00,1501.00,1720.00,1875.00,1482.00,1606.00,1634.00,1738.00,1822.00,1886.00,1973.00,2052.00,2247.00,2536.00,2639.00,707.00,33108.00
Equatorial Guinea,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,Total arrivals,Thousands,70.00,113.00,101.00,80.00,87.00,83.00,78.00,81.00,70.00,79.00,84.00,107.00,129.00,141.00,119.00,114.00,142.00,0.00,0.00,0.00,0.00,1678.00
Estonia,Total arrivals,Thousands,3310.00,3230.00,3253.00,3378.00,0.00,0.00,0.00,0.00,3828.00,3834.00,4369.00,4907.00,5007.00,5737.00,5804.00,5696.00,5942.00,6145.00,6033.00,6103.00,1695.00,78271.00
Eswatini,Total arrivals,Thousands,1151.00,1312.00,1371.00,1543.00,0.00,1182.00,1200.00,1230.00,1186.00,1344.00,1343.00,1328.00,1278.00,1299.00,1325.00,1256.00,1279.00,1343.00,1277.00,1226.00,345.30,24818.30
Ethiopia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fiji,Total arrivals,Thousands,434.00,446.00,461.00,451.00,513.00,547.00,0.00,542.00,627.00,605.00,692.00,734.00,741.00,769.00,781.00,869.00,963.00,1027.00,1058.00,969.00,168.00,13397.00
